WOE_ID	ISO	Name	Language	PlaceType	Parent_ID
2345202	EC	Galapagos	SPA	State	23424801
2345203	EC	Azuay	SPA	State	23424801
2345204	EC	Bolivar	SPA	State	23424801
2345205	EC	Canar	SPA	State	23424801
2345206	EC	Carchi	SPA	State	23424801
2345207	EC	Chimborazo	SPA	State	23424801
2345208	EC	Cotopaxi	SPA	State	23424801
2345209	EC	"El Oro"	SPA	State	23424801
2345210	EC	Esmeraldas	SPA	State	23424801
2345211	EC	Guayas	SPA	State	23424801
2345212	EC	Imbabura	SPA	State	23424801
2345213	EC	Loja	SPA	State	23424801
2345214	EC	"Los Rios"	SPA	State	23424801
2345215	EC	Manabi	SPA	State	23424801
2345216	EC	Morona-Santiago	SPA	State	23424801
2345217	EC	Napo	SPA	State	23424801
2345218	EC	Pastaza	SPA	State	23424801
2345219	EC	Pichincha	SPA	State	23424801
2345220	EC	Tungurahua	SPA	State	23424801
2345221	EC	Zamora-Chinchipe	SPA	State	23424801
2345222	EC	Sucumbios	SPA	State	23424801
20070099	EC	Orellana	SPA	State	23424801
56189814	EC	"Santo Domingo de los Tsáchilas"	SPA	State	23424801
56189815	EC	"Santa Elena"	SPA	State	23424801
2345321	GF	Cayenne	FRE	State	23424811
2345322	GF	"St. Laurent du Maroni"	FRE	State	23424811
2347610	BF	Bam	FRE	State	23424978
2347614	BF	Boulkiemde	FRE	State	23424978
2347615	BF	Ganzourgou	FRE	State	23424978
2347616	BF	Gnagna	FRE	State	23424978
2347619	BF	Kadiogo	FRE	State	23424978
2347623	BF	Kouritenga	FRE	State	23424978
2347625	BF	Namentenga	FRE	State	23424978
2347626	BF	Naouri	FRE	State	23424978
2347628	BF	Oudalan	FRE	State	23424978
2347629	BF	Passore	FRE	State	23424978
2347631	BF	Sanguie	FRE	State	23424978
2347632	BF	Sanmatenga	FRE	State	23424978
2347635	BF	Soum	FRE	State	23424978
2347637	BF	Tapoa	FRE	State	23424978
2347639	BF	Zoundweogo	FRE	State	23424978
55967353	BF	Komondjari	FRE	State	23424978
2347617	BF	Gourma	FRE	State	23424978
55967354	BF	Kompienga	FRE	State	23424978
55967355	BF	"Koulpélogo"	FRE	State	23424978
55967356	BF	Ziro	FRE	State	23424978
55967357	BF	Ioba	FRE	State	23424978
2347612	BF	Bougouriba	FRE	State	23424978
55967358	BF	"Balé"	FRE	State	23424978
2347624	BF	Mouhoun	FRE	State	23424978
2347618	BF	Houet	FRE	State	23424978
2347621	BF	"Komoé"	FRE	State	23424978
55967359	BF	"Léraba"	FRE	State	23424978
55967360	BF	Banwa	FRE	State	23424978
2347622	BF	Kossi	FRE	State	23424978
2347636	BF	Sourou	FRE	State	23424978
55967361	BF	Nayala	FRE	State	23424978
2347638	BF	Yatenga	FRE	State	23424978
55967362	BF	Loroum	FRE	State	23424978
55967363	BF	Zondoma	FRE	State	23424978
55967364	BF	Yagha	FRE	State	23424978
2347633	BF	Seno	FRE	State	23424978
2347611	BF	Bazega	FRE	State	23424978
2347634	BF	Sissili	FRE	State	23424978
2347613	BF	Boulgou	FRE	State	23424978
2347627	BF	Oubritenga	FRE	State	23424978
55967365	BF	"Kourwéogo"	FRE	State	23424978
55967366	BF	Tuy	FRE	State	23424978
2347620	BF	Kenedougou	FRE	State	23424978
2347630	BF	Poni	FRE	State	23424978
56017364	BF	Noumbiel	FRE	State	23424978
2345483	DE	"Freie Hansestadt Bremen"	GER	State	23424829
2345484	DE	"Freie und Hansestadt Hamburg"	GER	State	23424829
2345491	DE	"Bundesland Brandenburg"	GER	State	23424829
2345496	DE	"Bundesland Berlin"	GER	State	23424829
2345481	DE	"Baden-Württemberg"	GER	State	23424829
2345482	DE	Bayern	GER	State	23424829
2345485	DE	Hessen	GER	State	23424829
2345487	DE	Nordrhein-Westfalen	GER	State	23424829
2345488	DE	Rheinland-Pfalz	GER	State	23424829
2345489	DE	Saarland	GER	State	23424829
2345493	DE	Sachsen	GER	State	23424829
2345494	DE	Sachsen-Anhalt	GER	State	23424829
2345495	DE	"Thüringen"	GER	State	23424829
2345486	DE	Niedersachsen	GER	State	23424829
2345492	DE	Mecklenburg-Vorpommern	GER	State	23424829
2345490	DE	Schleswig-Holstein	GER	State	23424829
7153319	FR	"Île-de-France"	FRE	State	23424819
7153322	FR	Lorraine	FRE	State	23424819
7153330	FR	Alsace	FRE	State	23424819
7153317	FR	"Franche-Comté"	FRE	State	23424819
7153329	FR	"Rhône-Alpes"	FRE	State	23424819
7153312	FR	Bourgogne	FRE	State	23424819
7153324	FR	Nord-Pas-de-Calais	FRE	State	23424819
7153328	FR	"Provence-Alpes-Côte d'Azur"	FRE	State	23424819
7153316	FR	Corse	FRE	State	23424819
7153313	FR	Bretagne	FRE	State	23424819
7153315	FR	Champagne-Ardenne	FRE	State	23424819
7153326	FR	Picardie	FRE	State	23424819
7153325	FR	"Pays de la Loire"	FRE	State	23424819
7153320	FR	Languedoc-Roussillon	FRE	State	23424819
7153309	FR	Aquitaine	FRE	State	23424819
7153321	FR	Limousin	FRE	State	23424819
7153310	FR	Auvergne	FRE	State	23424819
7153318	FR	Haute-Normandie	FRE	State	23424819
7153311	FR	Basse-Normandie	FRE	State	23424819
7153314	FR	Centre	FRE	State	23424819
7153327	FR	Poitou-Charentes	FRE	State	23424819
7153323	FR	"Midi-Pyrénées"	FRE	State	23424819
2345937	KE	Central	ENG	State	23424863
2345938	KE	Coast	ENG	State	23424863
2345939	KE	Eastern	ENG	State	23424863
2345940	KE	"Nairobi Area"	ENG	State	23424863
2345941	KE	North-Eastern	ENG	State	23424863
2345942	KE	Nyanza	ENG	State	23424863
2345943	KE	"Rift Valley"	ENG	State	23424863
2345944	KE	Western	ENG	State	23424863
55848341	SI	Ajdovscina	UNK	State	23424945
55848342	SI	Brezice	UNK	State	23424945
55848343	SI	Celje	UNK	State	23424945
55848344	SI	Cerknica	UNK	State	23424945
55848345	SI	Crnomelj	UNK	State	23424945
55848346	SI	Domzale	UNK	State	23424945
55848347	SI	Dravograd	UNK	State	23424945
55848348	SI	"Gornja Radgona"	UNK	State	23424945
55848349	SI	Grosuplje	UNK	State	23424945
55848350	SI	Hrastnik	UNK	State	23424945
55848351	SI	Idrija	UNK	State	23424945
55848352	SI	"Ilirska Bistrica"	UNK	State	23424945
55848353	SI	Izola	UNK	State	23424945
55848354	SI	Jesenice	UNK	State	23424945
55848355	SI	Kamnik	UNK	State	23424945
55848356	SI	Kocevje	UNK	State	23424945
55848357	SI	Koper	UNK	State	23424945
55848358	SI	Kranj	UNK	State	23424945
55848359	SI	Krsko	UNK	State	23424945
55848360	SI	Lasko	UNK	State	23424945
55848361	SI	Lenart	UNK	State	23424945
55848362	SI	Lendava	UNK	State	23424945
55848363	SI	Litija	UNK	State	23424945
55848364	SI	Ljubljana	UNK	State	23424945
55848365	SI	Ljutomer	UNK	State	23424945
55848366	SI	Logatec	UNK	State	23424945
55848367	SI	Maribor	UNK	State	23424945
55848368	SI	Metlika	UNK	State	23424945
55848369	SI	Mozirje	UNK	State	23424945
55848370	SI	"Murska Sobota"	UNK	State	23424945
55848371	SI	"Nova Gorica"	UNK	State	23424945
55848372	SI	"Novo Mesto"	UNK	State	23424945
55848373	SI	Ormoz	UNK	State	23424945
55848374	SI	Pesnica	UNK	State	23424945
55848375	SI	Piran	UNK	State	23424945
55848376	SI	Postojna	UNK	State	23424945
55848377	SI	Ptuj	UNK	State	23424945
55848378	SI	"Radlje Ob Dravi"	UNK	State	23424945
55848379	SI	Radovljica	UNK	State	23424945
55848380	SI	"Ravne Na Koroskem"	UNK	State	23424945
55848381	SI	Ribnica	UNK	State	23424945
55848382	SI	Ruse	UNK	State	23424945
55848383	SI	"Sentjur Pri Celju"	UNK	State	23424945
55848384	SI	Sevnica	UNK	State	23424945
55848385	SI	Sezana	UNK	State	23424945
55848386	SI	"Skofja Loka"	UNK	State	23424945
55848387	SI	"Slovenj Gradec"	UNK	State	23424945
55848388	SI	"Slovenska Bistrica"	UNK	State	23424945
55848389	SI	"Slovenske Konjice"	UNK	State	23424945
55848390	SI	"Smarje Pri Jelsah"	UNK	State	23424945
55848391	SI	Tolmin	UNK	State	23424945
55848392	SI	Trbovlje	UNK	State	23424945
55848393	SI	Trebnje	UNK	State	23424945
55848394	SI	Trzic	UNK	State	23424945
55848395	SI	Velenje	UNK	State	23424945
55848396	SI	Vrhnika	UNK	State	23424945
55848397	SI	"Zagorje Ob Savi"	UNK	State	23424945
55848398	SI	Zalec	UNK	State	23424945
2345710	ID	"Nanggroe Aceh Darussalam"	UNK	State	23424846
